2025-06-09 22:46:00 | COMPUSDT | LONG | 4.4% -> STOP
2025-06-10 12:00:00 | SXPUSDT | LONG | 4.11% -> STOP
2025-06-14 12:00:00 | SXPUSDT | SHORT | -4.01% -> STOP
2025-06-04 14:21:00 | KAVAUSDT | SHORT | -5.23% -> TAKE
2025-06-13 06:43:00 | KAVAUSDT | SHORT | -4.18% -> TAKE
2025-06-05 02:21:00 | TRBUSDT | SHORT | -5.61% -> STOP
2025-06-10 12:06:00 | TRBUSDT | SHORT | -4.07% -> STOP
2025-06-06 12:02:00 | LRCUSDT | LONG | 4.55% -> STOP
2025-06-26 07:01:00 | ALPHAUSDT | LONG | 6.16% -> STOP
2025-06-26 07:05:00 | ALPHAUSDT | LONG | 10.48% -> STOP
2025-06-26 07:11:00 | ALPHAUSDT | SHORT | -5.2% -> STOP
2025-06-26 07:33:00 | ALPHAUSDT | SHORT | -4.98% -> STOP
2025-07-03 21:25:00 | ALPHAUSDT | LONG | 5.26% -> STOP
2025-06-05 07:03:00 | RVNUSDT | LONG | 42.53% -> STOP
2025-06-05 07:05:00 | RVNUSDT | LONG | 4.18% -> STOP
2025-06-05 07:07:00 | RVNUSDT | LONG | 5.64% -> STOP
2025-06-05 07:09:00 | RVNUSDT | LONG | 5.51% -> STOP
2025-06-05 07:11:00 | RVNUSDT | LONG | 5.08% -> TAKE
2025-06-05 08:05:00 | RVNUSDT | SHORT | -5.52% -> STOP
2025-06-10 04:05:00 | RVNUSDT | LONG | 4.75% -> TAKE
2025-06-19 06:53:00 | MTLUSDT | LONG | 4.15% -> STOP
2025-06-05 13:16:00 | OGNUSDT | LONG | 6.58% -> STOP
2025-06-16 14:50:00 | OGNUSDT | LONG | 4.08% -> STOP
2025-06-05 19:17:00 | IOTXUSDT | SHORT | -4.26% -> STOP
2025-06-21 22:12:00 | IOTXUSDT | LONG | 4.44% -> STOP
2025-06-06 09:55:00 | MASKUSDT | LONG | 4.47% -> STOP
